state,date,total_enrolment,monthly_growth,child_ratio,youth_ratio,adult_ratio,demo_update_pressure,biometric_update_pressure
Andaman & Nicobar Islands,2025-09-01,5,0.0,0.8,0.2,0.0,6.0,23.0
Andaman & Nicobar Islands,2025-09-02,1,0.0,1.0,0.0,0.0,13.0,29.0
Andaman & Nicobar Islands,2025-09-03,1,0.0,1.0,0.0,0.0,13.0,36.0
Andaman & Nicobar Islands,2025-09-04,5,0.0,1.0,0.0,0.0,0.0,20.0
Andaman & Nicobar Islands,2025-09-05,2,1.0,1.0,0.0,0.0,9.0,22.0
Andaman & Nicobar Islands,2025-09-08,1,-0.5,1.0,0.0,0.0,1.0,29.0
Andaman & Nicobar Islands,2025-09-09,2,0.0,0.5,0.5,0.0,6.0,33.0
Andaman & Nicobar Islands,2025-09-11,3,0.5,1.0,0.0,0.0,3.0,25.0
Andaman & Nicobar Islands,2025-09-12,2,-0.25,1.0,0.0,0.0,9.0,34.0
Andaman & Nicobar Islands,2025-09-15,1,0.0,1.0,0.0,0.0,6.0,30.0
Andaman & Nicobar Islands,2025-09-16,1,0.0,1.0,0.0,0.0,0.0,12.0
Andaman & Nicobar Islands,2025-09-17,3,0.25,0.75,0.25,0.0,2.0,17.0
Andaman & Nicobar Islands,2025-09-18,5,0.0,1.0,0.0,0.0,15.0,37.0
Andaman & Nicobar Islands,2025-09-22,2,0.0,1.0,0.0,0.0,0.0,0.0
Andaman & Nicobar Islands,2025-09-23,1,0.0,1.0,0.0,0.0,0.0,0.0
Andaman & Nicobar Islands,2025-09-24,3,0.25,0.5,0.5,0.0,0.0,0.0
Andaman & Nicobar Islands,2025-09-25,2,0.0,1.0,0.0,0.0,0.0,0.0
Andaman & Nicobar Islands,2025-09-26,2,0.0,1.0,0.0,0.0,0.0,0.0
Andaman & Nicobar Islands,2025-09-29,1,0.0,1.0,0.0,0.0,0.0,0.0
Andaman & Nicobar Islands,2025-10-13,2,0.0,1.0,0.0,0.0,1.0,0.0
Andaman & Nicobar Islands,2025-10-15,2,0.0,1.0,0.0,0.0,1.0,0.0
Andaman & Nicobar Islands,2025-10-17,2,0.0,1.0,0.0,0.0,4.0,0.0
Andaman & Nicobar Islands,2025-10-18,3,0.0,1.0,0.0,0.0,0.0,0.0
Andaman & Nicobar Islands,2025-10-19,1,0.0,1.0,0.0,0.0,1.0,0.0
Andaman & Nicobar Islands,2025-10-20,1,0.0,1.0,0.0,0.0,0.0,0.0
Andaman & Nicobar Islands,2025-10-24,1,0.0,1.0,0.0,0.0,2.0,0.0
Andaman & Nicobar Islands,2025-10-25,1,0.0,1.0,0.0,0.0,0.0,0.0
Andaman & Nicobar Islands,2025-10-26,1,0.0,1.0,0.0,0.0,0.0,0.0
Andaman and Nicobar Islands,2025-09-01,22,1.1212121212121213,0.9818181818181818,0.01818181818181818,0.0,32.0,152.0
Andaman and Nicobar Islands,2025-09-02,9,0.375,0.9583333333333334,0.041666666666666664,0.0,19.0,155.0
Andaman and Nicobar Islands,2025-09-03,11,0.19047619047619047,0.9285714285714286,0.07142857142857142,0.0,39.0,138.0
Andaman and Nicobar Islands,2025-09-04,12,0.34375,0.875,0.125,0.0,32.0,115.0
Andaman and Nicobar Islands,2025-09-05,3,0.0,1.0,0.0,0.0,24.0,89.0
Andaman and Nicobar Islands,2025-09-08,12,0.25,1.0,0.0,0.0,19.0,153.0
Andaman and Nicobar Islands,2025-09-09,11,0.0833333333333333,0.6666666666666666,0.3333333333333333,0.0,0.0,199.0
Andaman and Nicobar Islands,2025-09-10,12,0.5,0.9166666666666666,0.08333333333333333,0.0,8.0,212.0
Andaman and Nicobar Islands,2025-09-11,3,-0.16666666666666666,1.0,0.0,0.0,31.0,141.0
Andaman and Nicobar Islands,2025-09-12,3,0.25,1.0,0.0,0.0,26.0,143.0
Andaman and Nicobar Islands,2025-09-13,1,0.0,1.0,0.0,0.0,7.0,19.0
Andaman and Nicobar Islands,2025-09-15,5,0.125,0.625,0.375,0.0,15.0,121.0
Andaman and Nicobar Islands,2025-09-16,3,0.25,1.0,0.0,0.0,7.0,137.0
Andaman and Nicobar Islands,2025-09-17,2,1.0,1.0,0.0,0.0,7.0,149.0
Andaman and Nicobar Islands,2025-09-18,4,-0.125,1.0,0.0,0.0,29.0,195.0
Andaman and Nicobar Islands,2025-09-19,7,0.08333333333333333,1.0,0.0,0.0,4.0,73.0
Andaman and Nicobar Islands,2025-09-20,1,0.0,1.0,0.0,0.0,0.0,0.0
Andaman and Nicobar Islands,2025-09-22,4,0.3333333333333333,1.0,0.0,0.0,0.0,0.0
Andaman and Nicobar Islands,2025-09-23,7,-0.07142857142857142,1.0,0.0,0.0,0.0,0.0
Andaman and Nicobar Islands,2025-09-24,3,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0
Andaman and Nicobar Islands,2025-09-25,6,0.0,1.0,0.0,0.0,0.0,0.0
Andaman and Nicobar Islands,2025-09-26,4,0.16666666666666666,1.0,0.0,0.0,0.0,0.0
Andaman and Nicobar Islands,2025-10-13,8,0.1,1.0,0.0,0.0,2.0,0.0
Andaman and Nicobar Islands,2025-10-15,5,0.125,1.0,0.0,0.0,1.0,0.0
Andaman and Nicobar Islands,2025-10-16,4,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.0,6.0,0.0
Andaman and Nicobar Islands,2025-10-17,9,0.15,0.95,0.05,0.0,5.0,0.0
